id,loan_amount,instalment,expected_revenue,total_payment,loss
Summary,,,"Total Expected Loss: $28,885,826.94",,
8144798,24375,581.16,34869.6,59.67826438427981,34809.92173561572
8138465,3500,130.43,4695.4800000000005,31.17336543748593,4664.306634562515
8137655,6000,199.26,7173.36,30.978894233530124,7142.38110576647
8136664,25000,543.44,32606.4,56.417305237938514,32549.982694762064
8136079,18450,506.43,30385.8,56.984035264655816,30328.815964735342
8127992,5000,184.6,6645.599999999999,24.480277552224205,6621.1197224477755
8127903,25000,850.44,30615.840000000004,38.6860759190619,30577.153924080943
8127851,18125,432.15,25929.0,40.5108826608748,25888.489117339126
8127822,22000,730.61,26301.96,62.30723681316815,26239.65276318683
8127206,7550,250.74,9026.64,44.18917853175347,8982.450821468246
8126774,7750,273.24,9836.64,46.2013044993214,9790.438695500678
8126206,6075,224.29,8074.44,33.49607144462185,8040.943928555378
8125884,12000,298.88,17932.8,43.47832053732501,17889.321679462675
8117378,20000,468.49,28109.4,24.612645015808027,28084.787354984193
8117308,4725,162.18,5838.4800000000005,33.628319530133965,5804.851680469867
8116971,14675,408.66,14711.76,45.79429045390831,14665.965709546092
8116057,6000,202.14,7277.039999999999,25.28927106399349,7251.7507289360055
8116015,5000,163.67,5892.12,33.74624252898523,5858.373757471015
8114688,7200,276.47,9952.920000000002,44.06161374740101,9908.858386252601
8096216,16800,424.42,25465.2,52.81667186352294,25412.38332813648
8095974,18250,606.08,21818.88,60.52306859397285,21758.35693140603
8095717,18825,640.39,23054.04,52.47453465329428,23001.565465346706
8095659,10925,385.18,13866.48,50.24087447713438,13816.239125522865
8095474,11875,388.72,13993.920000000002,48.45850677402576,13945.461493225976
8095315,3000,105.77,3807.72,32.819186736863614,3774.900813263136
8095275,26000,875.92,31533.12,69.93962023523646,31463.180379764763
8095142,10000,327.34,11784.24,46.68149448565165,11737.558505514347
8095126,10000,332.1,11955.6,46.00855310779252,11909.591446892207
8065108,15000,491.01,17676.36,42.32187344981183,17634.03812655019
8054734,20000,434.75,26085.0,35.29966933281058,26049.70033066719
8054651,12000,398.52,14346.72,39.39905142541955,14307.32094857458
8054565,20000,498.13,29887.8,54.793875977594126,29833.006124022406
8044800,6250,212.61,7653.960000000001,41.76725413986872,7612.192745860132
8024621,12000,452.11,16275.960000000001,33.58757327547664,16242.372426724523
8015377,12875,475.34,17112.239999999998,41.85494723842807,17070.38505276157
7964799,26500,705.05,42303.0,63.66216571399647,42239.337834286
7956458,28000,795.79,47747.399999999994,62.96255421758109,47684.437445782416
7955737,13250,459.97,16558.920000000002,55.17107671792624,16503.748923282077
7955643,15000,426.32,25579.2,51.99171977524643,25527.208280224753
7954649,29000,976.99,35171.64,58.8758616950348,35112.76413830496
7945870,16000,549.18,19770.48,47.064892732242335,19723.415107267756
7945726,21725,523.82,31429.200000000004,54.71782919439552,31374.482170805608
7936650,13000,458.33,16499.88,55.105349125971614,16444.77465087403
7935670,20000,524.56,31473.6,56.71618392751027,31416.883816072488
7927337,11000,310.73,18643.800000000003,31.401159412137748,18612.398840587866
